item,score,total_occ,preferred_occ
terrorist room,0.3333333333333333,9,3
corporate repayment,1.0,11,11
adjacent flash,0.5,12,6
parliamentary harvest,0.2,10,2
eligible co-ordinator,0.7,10,7
international prince,0.6,10,6
scientific deposit,0.45454545454545453,11,5
lucky distribution,0.625,8,5
statistical humour,0.45454545454545453,11,5
remarkable gospel,0.7272727272727273,11,8
sound checklist,0.7,10,7
valuable wish,0.5,8,4
safe attention,0.2,10,2
prominent deduction,0.8888888888888888,9,8
poor shower,0.6,10,6
permanent devil,0.5,10,5
obvious commune,0.5454545454545454,11,6
academic inequality,0.9090909090909091,11,10
dramatic mercy,0.7,10,7
enjoyable subsection,0.5454545454545454,11,6
active spread,0.5555555555555556,9,5
enjoyable migrant,0.3,10,3
innovative primary,0.8,10,8
organic crap,0.75,8,6
rough forum,0.5,10,5
increased institute,0.1,10,1
democratic computing,0.7272727272727273,11,8
senior breadth,0.2,10,2
indigenous poster,0.5454545454545454,11,6
bright detective,0.6363636363636364,11,7
frequent wardrobe,0.5,10,5
sick complex,0.45454545454545453,11,5
preliminary circle,0.7272727272727273,11,8
scientific hedge,0.4,10,4
subsequent bush,0.5,10,5
civil walking,0.4444444444444444,9,4
sufficient garage,0.5,10,5
distant push,0.4,10,4
indigenous speed,0.4,10,4
parliamentary ferry,0.3,10,3
electric camp,0.4,10,4
identical brush,0.7777777777777778,9,7
spectacular bear,0.5555555555555556,9,5
chronic disk,0.5714285714285714,7,4
institutional garage,0.625,8,5
maximum brewery,0.0,9,0
negative downloads,0.6363636363636364,11,7
presidential fishery,0.3,10,3
live reliability,0.18181818181818182,11,2
varied abuse,0.45454545454545453,11,5
substantial medication,0.6,10,6
physical creativity,0.8181818181818182,11,9
Victorian radius,0.2,10,2
adjacent tiger,0.2222222222222222,9,2
tropical cake,0.7,10,7
academic gameplay,0.6666666666666666,9,6
rear coordinator,0.4444444444444444,9,4
yellow integrity,0.1111111111111111,9,1
unique rowing,0.6,10,6
unlikely mouth,0.3,10,3
Conservative well,0.5555555555555556,9,5
sweet hurricane,0.2,10,2
wet circulation,0.2,10,2
male ban,0.25,8,2
old extinction,0.3,10,3
forthcoming chocolate,0.3333333333333333,9,3
nervous rule,0.4,10,4
forthcoming palm,0.3,10,3
peaceful attorney,0.8,10,8
lead nationality,0.5555555555555556,9,5
fat honey,0.2222222222222222,9,2
continued wash,0.8571428571428571,7,6
mass archbishop,0.375,8,3
oral renewal,0.6666666666666666,9,6
assistant total,0.1,10,1
weekly shock,0.7,10,7
executive pipe,0.4,10,4
pure senator,0.1111111111111111,9,1
silent original,0.7,10,7
comic gland,0.0,8,0
defensive verification,0.7777777777777778,9,7
angry printing,0.1111111111111111,9,1
lead slide,0.6,10,6
lead urine,0.25,8,2
armed printing,0.2,10,2
bold telescope,0.375,8,3
valid tariff,0.9,10,9
sorry dissertation,0.5555555555555556,9,5
independent favour,0.7,10,7
preliminary lawsuit,0.8,10,8
instrumental header,0.6,10,6
enjoyable provider,0.7,10,7
naval framework,0.7,10,7
flexible militia,0.75,8,6
dominant entry,0.7777777777777778,9,7
present pitcher,0.5555555555555556,9,5
molecular liner,0.4,10,4
net activation,0.5555555555555556,9,5
rear team,0.6666666666666666,9,6
visual bracket,0.5555555555555556,9,5
magnetic planting,0.3,10,3
mixed ramp,0.3,10,3
planned compression,0.6666666666666666,9,6
constant rail,0.5555555555555556,9,5
unknown government,0.4444444444444444,9,4
illegal hammer,0.4444444444444444,9,4
ordinary waterway,0.8888888888888888,9,8
silent tuition,0.1111111111111111,9,1
raw progression,0.5555555555555556,9,5
legislative income,0.6666666666666666,9,6
blind popularity,1.0,9,9
left organism,0.3,10,3
southern apprentice,0.5,8,4
dependent director,0.9,10,9
rapid shark,0.8,10,8
upper marathon,0.1111111111111111,9,1
federal gardening,0.1111111111111111,9,1
peaceful viewpoint,1.0,10,10
normal preservation,0.5,8,4
poor coup,0.5555555555555556,9,5
varied pistol,0.8,10,8
political insulin,0.2,10,2
prestigious pick,0.8888888888888888,9,8
green probability,0.4,10,4
voluntary bacterium,0.1111111111111111,9,1
eastern buffer,0.625,8,5
daily kilometre,0.375,8,3
close electricity,0.4,10,4
average assistant,1.0,8,8
enormous girlfriend,0.7,10,7
applicable railway,0.8888888888888888,9,8
Spanish postage,0.9,10,9
systematic discount,0.8,10,8
virtual lunch,0.2,10,2
wise waste,0.2222222222222222,9,2
considerable gear,0.8,10,8
presidential present,0.5,10,5
attractive news,0.7777777777777778,9,7
yellow commuter,0.1111111111111111,9,1
undergraduate promise,0.4,10,4
distant butter,0.0,10,0
physical photo,0.6666666666666666,9,6
difficult antibody,0.5,10,5
virtual constituency,0.5,10,5
bold websites,0.9,10,9
thin distributor,0.625,8,5
solar marketplace,0.375,8,3
revolutionary tray,0.3333333333333333,9,3
genetic poet,0.0,9,0
North basket,0.4,10,4
video aspiration,0.6666666666666666,9,6
widespread pagan,0.3,10,3
random trust,0.4444444444444444,9,4
logical punishment,0.8888888888888888,9,8
South axe,0.1111111111111111,9,1
tough anime,0.3333333333333333,9,3
fast revolt,0.4,10,4
empty artifact,0.8888888888888888,9,8
collaborative corporation,0.875,8,7
North consciousness,0.3,10,3
